Date,Home Team,Away Team,Home Score,Away Score,Winner
10/30/2016,Detroit Pistons,Milwaukee Bucks,98,83,Home
10/30/2016,Memphis Grizzlies,Washington Wizards,112,103,Home
10/30/2016,Oklahoma City Thunder,Los Angeles Lakers,113,96,Home
10/30/2016,Houston Rockets,Dallas Mavericks,93,92,Home
10/31/2016,Toronto Raptors,Denver Nuggets,105,102,Home
10/31/2016,Brooklyn Nets,Chicago Bulls,88,118,Away
10/31/2016,Atlanta Hawks,Sacramento Kings,106,95,Home
10/31/2016,LA Clippers,Phoenix Suns,116,98,Home
11/1/2016,Philadelphia 76ers,Orlando Magic,101,103,Away
11/1/2016,Cleveland Cavaliers,Houston Rockets,128,120,Home
11/1/2016,Indiana Pacers,Los Angeles Lakers,115,108,Home
11/1/2016,Miami Heat,Sacramento Kings,108,96,Home
11/1/2016,Detroit Pistons,New York Knicks,102,89,Home
11/1/2016,New Orleans Pelicans,Milwaukee Bucks,113,117,Away
11/1/2016,Minnesota Timberwolves,Memphis Grizzlies,116,80,Home
11/1/2016,San Antonio Spurs,Utah Jazz,91,106,Away
11/1/2016,Portland Trail Blazers,Golden State Warriors,104,127,Away
11/2/2016,Washington Wizards,Toronto Raptors,103,113,Away
11/2/2016,Charlotte Hornets,Philadelphia 76ers,109,93,Home
11/2/2016,Brooklyn Nets,Detroit Pistons,109,101,Home
11/2/2016,New York Knicks,Houston Rockets,99,118,Away
11/2/2016,Atlanta Hawks,Los Angeles Lakers,116,123,Away
11/2/2016,Memphis Grizzlies,New Orleans Pelicans,89,83,Home
11/2/2016,Boston Celtics,Chicago Bulls,107,100,Home
11/2/2016,Utah Jazz,Dallas Mavericks,97,81,Home
11/2/2016,Phoenix Suns,Portland Trail Blazers,118,115,Home
11/2/2016,LA Clippers,Oklahoma City Thunder,83,85,Away
11/3/2016,Orlando Magic,Sacramento Kings,102,94,Home
11/3/2016,Milwaukee Bucks,Indiana Pacers,125,107,Home
11/3/2016,Minnesota Timberwolves,Denver Nuggets,99,102,Away
11/3/2016,Cleveland Cavaliers,Boston Celtics,128,122,Home
11/3/2016,Golden State Warriors,Oklahoma City Thunder,122,96,Home
11/4/2016,Washington Wizards,Atlanta Hawks,95,92,Home
11/4/2016,Toronto Raptors,Miami Heat,96,87,Home
11/4/2016,Brooklyn Nets,Charlotte Hornets,95,99,Away
11/4/2016,Chicago Bulls,New York Knicks,104,117,Away
11/4/2016,Memphis Grizzlies,LA Clippers,88,99,Away
11/4/2016,New Orleans Pelicans,Phoenix Suns,111,112,Away
11/4/2016,Dallas Mavericks,Portland Trail Blazers,95,105,Away
11/4/2016,Utah Jazz,San Antonio Spurs,86,100,Away
11/4/2016,Los Angeles Lakers,Golden State Warriors,117,97,Home
11/5/2016,Oklahoma City Thunder,Minnesota Timberwolves,112,92,Home
11/5/2016,Philadelphia 76ers,Cleveland Cavaliers,101,102,Away
11/5/2016,Orlando Magic,Washington Wizards,88,86,Home
11/5/2016,Detroit Pistons,Denver Nuggets,103,86,Home
11/5/2016,Indiana Pacers,Chicago Bulls,111,94,Home
11/5/2016,Atlanta Hawks,Houston Rockets,112,97,Home
11/5/2016,Milwaukee Bucks,Sacramento Kings,117,91,Home
11/5/2016,San Antonio Spurs,LA Clippers,92,116,Away
11/6/2016,New York Knicks,Utah Jazz,109,114,Away
11/6/2016,Memphis Grizzlies,Portland Trail Blazers,94,100,Away
11/6/2016,Toronto Raptors,Sacramento Kings,91,96,Away
11/6/2016,Dallas Mavericks,Milwaukee Bucks,86,75,Home
11/6/2016,Boston Celtics,Denver Nuggets,107,123,Away
11/6/2016,Los Angeles Lakers,Phoenix Suns,119,108,Home
11/7/2016,Philadelphia 76ers,Utah Jazz,84,109,Away
11/7/2016,Washington Wizards,Houston Rockets,106,114,Away
11/7/2016,Charlotte Hornets,Indiana Pacers,122,100,Home
11/7/2016,Chicago Bulls,Orlando Magic,112,80,Home
11/7/2016,Oklahoma City Thunder,Miami Heat,97,85,Home
11/7/2016,LA Clippers,Detroit Pistons,114,82,Home
11/7/2016,Golden State Warriors,New Orleans Pelicans,116,106,Home
11/8/2016,Cleveland Cavaliers,Atlanta Hawks,106,110,Away
11/8/2016,Brooklyn Nets,Minnesota Timberwolves,119,110,Home
11/8/2016,Memphis Grizzlies,Denver Nuggets,108,107,Home
11/8/2016,Portland Trail Blazers,Phoenix Suns,124,121,Home
11/8/2016,Los Angeles Lakers,Dallas Mavericks,97,109,Away
11/8/2016,Sacramento Kings,New Orleans Pelicans,102,94,Home
11/9/2016,New York Knicks,Brooklyn Nets,110,96,Home
11/9/2016,Washington Wizards,Boston Celtics,118,93,Home
11/9/2016,Charlotte Hornets,Utah Jazz,104,98,Home
11/9/2016,Orlando Magic,Minnesota Timberwolves,107,123,Away
11/9/2016,Indiana Pacers,Philadelphia 76ers,122,115,Home
11/9/2016,Atlanta Hawks,Chicago Bulls,115,107,Home
11/9/2016,Oklahoma City Thunder,Toronto Raptors,102,112,Away
11/9/2016,Phoenix Suns,Detroit Pistons,107,100,Home
11/9/2016,San Antonio Spurs,Houston Rockets,99,101,Away
11/9/2016,LA Clippers,Portland Trail Blazers,111,80,Home
11/9/2016,Golden State Warriors,Dallas Mavericks,116,95,Home
11/10/2016,Milwaukee Bucks,New Orleans Pelicans,106,112,Away
11/10/2016,Miami Heat,Chicago Bulls,95,98,Away
11/10/2016,Denver Nuggets,Golden State Warriors,101,125,Away
11/10/2016,Sacramento Kings,Los Angeles Lakers,91,101,Away
11/11/2016,Philadelphia 76ers,Indiana Pacers,109,105,Home
11/11/2016,Washington Wizards,Cleveland Cavaliers,94,105,Away
11/11/2016,Charlotte Hornets,Toronto Raptors,111,113,Away
11/11/2016,Orlando Magic,Utah Jazz,74,87,Away
11/11/2016,Boston Celtics,New York Knicks,115,87,Home
11/11/2016,Oklahoma City Thunder,LA Clippers,108,110,Away
11/11/2016,San Antonio Spurs,Detroit Pistons,96,86,Home
11/11/2016,Portland Trail Blazers,Sacramento Kings,122,120,Home
11/12/2016,New Orleans Pelicans,Los Angeles Lakers,99,126,Away
11/12/2016,Indiana Pacers,Boston Celtics,99,105,Away
11/12/2016,Toronto Raptors,New York Knicks,118,107,Home
11/12/2016,Atlanta Hawks,Philadelphia 76ers,117,96,Home
11/12/2016,Chicago Bulls,Washington Wizards,106,95,Home
11/12/2016,Houston Rockets,San Antonio Spurs,100,106,Away
11/12/2016,Minnesota Timberwolves,LA Clippers,105,119,Away
11/12/2016,Miami Heat,Utah Jazz,91,102,Away
11/12/2016,Milwaukee Bucks,Memphis Grizzlies,106,96,Home
11/12/2016,Denver Nuggets,Detroit Pistons,95,106,Away
11/12/2016,Phoenix Suns,Brooklyn Nets,104,122,Away
11/13/2016,Cleveland Cavaliers,Charlotte Hornets,100,93,Home
11/13/2016,Oklahoma City Thunder,Orlando Magic,117,119,Away
11/13/2016,Minnesota Timberwolves,Los Angeles Lakers,125,99,Home
11/13/2016,Golden State Warriors,Phoenix Suns,133,120,Home
11/13/2016,Portland Trail Blazers,Denver Nuggets,112,105,Home
11/14/2016,Indiana Pacers,Orlando Magic,88,69,Home
11/14/2016,New York Knicks,Dallas Mavericks,93,77,Home
11/14/2016,Detroit Pistons,Oklahoma City Thunder,104,88,Home
11/14/2016,New Orleans Pelicans,Boston Celtics,106,105,Home
11/14/2016,Houston Rockets,Philadelphia 76ers,115,88,Home
11/14/2016,San Antonio Spurs,Miami Heat,94,90,Home
11/14/2016,Utah Jazz,Memphis Grizzlies,96,102,Away
11/14/2016,LA Clippers,Brooklyn Nets,127,95,Home
11/15/2016,Cleveland Cavaliers,Toronto Raptors,121,117,Home
11/15/2016,Miami Heat,Atlanta Hawks,90,93,Away
11/15/2016,Minnesota Timberwolves,Charlotte Hornets,108,115,Away
11/15/2016,Portland Trail Blazers,Chicago Bulls,88,113,Away
11/15/2016,Los Angeles Lakers,Brooklyn Nets,125,118,Home
11/16/2016,Philadelphia 76ers,Washington Wizards,109,102,Home
11/16/2016,Orlando Magic,New Orleans Pelicans,89,82,Home
11/16/2016,Indiana Pacers,Cleveland Cavaliers,103,93,Home
11/16/2016,Boston Celtics,Dallas Mavericks,90,83,Home
11/16/2016,New York Knicks,Detroit Pistons,105,102,Home
11/16/2016,Atlanta Hawks,Milwaukee Bucks,107,100,Home
11/16/2016,Oklahoma City Thunder,Houston Rockets,105,103,Home
11/16/2016,Toronto Raptors,Golden State Warriors,121,127,Away
11/16/2016,Denver Nuggets,Phoenix Suns,120,104,Home
11/16/2016,LA Clippers,Memphis Grizzlies,107,111,Away
11/16/2016,Sacramento Kings,San Antonio Spurs,105,110,Away
11/17/2016,Washington Wizards,New York Knicks,119,112,Home
11/17/2016,Miami Heat,Milwaukee Bucks,96,73,Home
11/17/2016,Houston Rockets,Portland Trail Blazers,126,109,Home
11/17/2016,Minnesota Timberwolves,Philadelphia 76ers,110,86,Home
11/17/2016,Utah Jazz,Chicago Bulls,77,85,Away
11/18/2016,Charlotte Hornets,Atlanta Hawks,100,96,Home
11/18/2016,Cleveland Cavaliers,Detroit Pistons,104,81,Home
11/18/2016,Indiana Pacers,Phoenix Suns,96,116,Away
11/18/2016,New Orleans Pelicans,Portland Trail Blazers,113,101,Home
11/18/2016,Oklahoma City Thunder,Brooklyn Nets,124,105,Home
11/18/2016,Boston Celtics,Golden State Warriors,88,104,Away
11/18/2016,Dallas Mavericks,Memphis Grizzlies,64,80,Away
11/18/2016,Denver Nuggets,Toronto Raptors,111,113,Away
11/18/2016,Los Angeles Lakers,San Antonio Spurs,107,116,Away
11/18/2016,Sacramento Kings,LA Clippers,115,121,Away
11/19/2016,Houston Rockets,Utah Jazz,111,102,Home
11/19/2016,New Orleans Pelicans,Charlotte Hornets,121,116,Home
11/19/2016,Washington Wizards,Miami Heat,111,114,Away
11/19/2016,Orlando Magic,Dallas Mavericks,95,87,Home
11/19/2016,Detroit Pistons,Boston Celtics,92,94,Away
11/19/2016,Philadelphia 76ers,Phoenix Suns,120,105,Home
11/19/2016,Memphis Grizzlies,Minnesota Timberwolves,93,71,Home
11/19/2016,Milwaukee Bucks,Golden State Warriors,121,124,Away
11/19/2016,LA Clippers,Chicago Bulls,102,95,Home
11/20/2016,New York Knicks,Atlanta Hawks,104,94,Home
11/20/2016,Brooklyn Nets,Portland Trail Blazers,109,129,Away
11/20/2016,Oklahoma City Thunder,Indiana Pacers,111,115,Away
11/20/2016,Sacramento Kings,Toronto Raptors,102,99,Home
11/20/2016,Denver Nuggets,Utah Jazz,105,91,Home
11/20/2016,Los Angeles Lakers,Chicago Bulls,110,118,Away
11/21/2016,Philadelphia 76ers,Miami Heat,101,94,Home
11/21/2016,Washington Wizards,Phoenix Suns,106,101,Home
11/21/2016,Charlotte Hornets,Memphis Grizzlies,90,105,Away
11/21/2016,Indiana Pacers,Golden State Warriors,83,120,Away
11/21/2016,Detroit Pistons,Houston Rockets,96,99,Away
11/21/2016,Milwaukee Bucks,Orlando Magic,93,89,Home
11/21/2016,Minnesota Timberwolves,Boston Celtics,93,99,Away
11/21/2016,San Antonio Spurs,Dallas Mavericks,96,91,Home
11/21/2016,LA Clippers,Toronto Raptors,123,115,Home
11/22/2016,New York Knicks,Portland Trail Blazers,107,103,Home
11/22/2016,Atlanta Hawks,New Orleans Pelicans,94,112,Away
11/22/2016,Denver Nuggets,Chicago Bulls,110,107,Home
11/22/2016,Los Angeles Lakers,Oklahoma City Thunder,111,109,Home
11/23/2016,Philadelphia 76ers,Memphis Grizzlies,99,104,Away
11/23/2016,Charlotte Hornets,San Antonio Spurs,114,119,Away
11/23/2016,Orlando Magic,Phoenix Suns,87,92,Away
11/23/2016,Cleveland Cavaliers,Portland Trail Blazers,137,125,Home
11/23/2016,Indiana Pacers,Atlanta Hawks,85,96,Away
11/23/2016,Brooklyn Nets,Boston Celtics,92,111,Away
11/23/2016,Detroit Pistons,Miami Heat,107,84,Home
11/23/2016,Houston Rockets,Toronto Raptors,102,115,Away
11/23/2016,Dallas Mavericks,LA Clippers,104,124,Away
11/23/2016,Utah Jazz,Denver Nuggets,108,83,Home
11/23/2016,New Orleans Pelicans,Minnesota Timberwolves,117,96,Home
11/23/2016,Golden State Warriors,Los Angeles Lakers,149,106,Home
11/23/2016,Sacramento Kings,Oklahoma City Thunder,116,101,Home
11/25/2016,Boston Celtics,San Antonio Spurs,103,109,Away
11/25/2016,Orlando Magic,Washington Wizards,91,94,Away
11/25/2016,Cleveland Cavaliers,Dallas Mavericks,128,90,Home
11/25/2016,New York Knicks,Charlotte Hornets,113,111,Home
11/25/2016,Philadelphia 76ers,Chicago Bulls,89,105,Away
11/25/2016,Detroit Pistons,LA Clippers,108,97,Home
11/25/2016,Utah Jazz,Atlanta Hawks,95,68,Home
11/25/2016,Milwaukee Bucks,Toronto Raptors,99,105,Away
11/25/2016,Memphis Grizzlies,Miami Heat,81,90,Away
11/25/2016,Indiana Pacers,Brooklyn Nets,118,97,Home
11/25/2016,Denver Nuggets,Oklahoma City Thunder,129,132,Away
11/25/2016,Phoenix Suns,Minnesota Timberwolves,85,98,Away
11/25/2016,Portland Trail Blazers,New Orleans Pelicans,119,104,Home
11/25/2016,Los Angeles Lakers,Golden State Warriors,85,109,Away
11/25/2016,Sacramento Kings,Houston Rockets,104,117,Away
11/26/2016,Washington Wizards,San Antonio Spurs,100,112,Away
11/26/2016,Charlotte Hornets,New York Knicks,107,102,Home
11/26/2016,Oklahoma City Thunder,Detroit Pistons,106,88,Home
11/26/2016,Miami Heat,Memphis Grizzlies,107,110,Away
11/26/2016,Golden State Warriors,Minnesota Timberwolves,115,102,Home
11/27/2016,Philadelphia 76ers,Cleveland Cavaliers,108,112,Away
11/27/2016,Phoenix Suns,Denver Nuggets,114,120,Away
11/27/2016,Brooklyn Nets,Sacramento Kings,105,122,Away
11/27/2016,Orlando Magic,Milwaukee Bucks,96,104,Away
11/27/2016,Indiana Pacers,LA Clippers,91,70,Home
11/27/2016,Dallas Mavericks,New Orleans Pelicans,91,81,Home
11/27/2016,Portland Trail Blazers,Houston Rockets,114,130,Away
11/27/2016,Los Angeles Lakers,Atlanta Hawks,109,94,Home
11/28/2016,Washington Wizards,Sacramento Kings,101,95,Home
11/28/2016,Toronto Raptors,Philadelphia 76ers,122,95,Home
11/28/2016,New York Knicks,Oklahoma City Thunder,103,112,Away
11/28/2016,Miami Heat,Boston Celtics,104,112,Away
11/28/2016,Memphis Grizzlies,Charlotte Hornets,85,104,Away
11/28/2016,Minnesota Timberwolves,Utah Jazz,103,112,Away
11/28/2016,Golden State Warriors,Atlanta Hawks,105,100,Home
11/29/2016,Charlotte Hornets,Detroit Pistons,89,112,Away
11/29/2016,Brooklyn Nets,LA Clippers,127,122,Home
11/29/2016,Milwaukee Bucks,Cleveland Cavaliers,118,101,Home
11/29/2016,New Orleans Pelicans,Los Angeles Lakers,105,88,Home
11/29/2016,San Antonio Spurs,Orlando Magic,83,95,Away
11/29/2016,Utah Jazz,Houston Rockets,120,101,Home
11/30/2016,Boston Celtics,Detroit Pistons,114,121,Away
11/30/2016,Toronto Raptors,Memphis Grizzlies,120,105,Home
11/30/2016,Chicago Bulls,Los Angeles Lakers,90,96,Away
11/30/2016,Oklahoma City Thunder,Washington Wizards,126,115,Home
11/30/2016,Minnesota Timberwolves,New York Knicks,104,106,Away
11/30/2016,Dallas Mavericks,San Antonio Spurs,87,94,Away
11/30/2016,Denver Nuggets,Miami Heat,98,106,Away
11/30/2016,Phoenix Suns,Atlanta Hawks,109,107,Home
11/30/2016,Portland Trail Blazers,Indiana Pacers,131,109,Home
12/1/2016,Charlotte Hornets,Dallas Mavericks,97,87,Home
12/1/2016,Brooklyn Nets,Milwaukee Bucks,93,111,Away
12/1/2016,Memphis Grizzlies,Orlando Magic,95,94,Home
12/1/2016,Cleveland Cavaliers,LA Clippers,94,113,Away
12/1/2016,Utah Jazz,Miami Heat,110,111,Away
12/1/2016,Golden State Warriors,Houston Rockets,127,132,Away
12/2/2016,Philadelphia 76ers,Orlando Magic,88,105,Away
12/2/2016,Boston Celtics,Sacramento Kings,97,92,Home
12/2/2016,Toronto Raptors,Los Angeles Lakers,113,80,Home
12/2/2016,New York Knicks,Minnesota Timberwolves,118,114,Home
12/2/2016,Chicago Bulls,Cleveland Cavaliers,111,105,Home
12/2/2016,New Orleans Pelicans,LA Clippers,96,114,Away
12/2/2016,Atlanta Hawks,Detroit Pistons,85,121,Away
12/2/2016,San Antonio Spurs,Washington Wizards,107,105,Home
12/2/2016,Denver Nuggets,Houston Rockets,110,128,Away
12/3/2016,Milwaukee Bucks,Brooklyn Nets,112,103,Home
12/3/2016,Charlotte Hornets,Minnesota Timberwolves,120,125,Away
12/3/2016,Toronto Raptors,Atlanta Hawks,128,84,Home
12/3/2016,Philadelphia 76ers,Boston Celtics,106,107,Away
12/3/2016,Memphis Grizzlies,Los Angeles Lakers,103,100,Home
12/3/2016,Dallas Mavericks,Chicago Bulls,107,82,Home
12/3/2016,Utah Jazz,Denver Nuggets,105,98,Home
12/3/2016,Portland Trail Blazers,Miami Heat,99,92,Home
12/3/2016,Golden State Warriors,Phoenix Suns,138,109,Home
12/4/2016,Detroit Pistons,Orlando Magic,92,98,Away
12/4/2016,Oklahoma City Thunder,New Orleans Pelicans,101,92,Home
12/4/2016,New York Knicks,Sacramento Kings,106,98,Home
12/4/2016,LA Clippers,Indiana Pacers,102,111,Away
12/5/2016,Philadelphia 76ers,Denver Nuggets,98,106,Away
12/5/2016,Toronto Raptors,Cleveland Cavaliers,112,116,Away
12/5/2016,Brooklyn Nets,Washington Wizards,113,118,Away
12/5/2016,Atlanta Hawks,Oklahoma City Thunder,99,102,Away
12/5/2016,Chicago Bulls,Portland Trail Blazers,110,112,Away
12/5/2016,Milwaukee Bucks,San Antonio Spurs,96,97,Away
12/5/2016,New Orleans Pelicans,Memphis Grizzlies,108,110,Away
12/5/2016,Houston Rockets,Boston Celtics,107,106,Home
12/5/2016,Dallas Mavericks,Charlotte Hornets,101,109,Away
12/5/2016,Los Angeles Lakers,Utah Jazz,101,107,Away
12/5/2016,Golden State Warriors,Indiana Pacers,142,106,Home
12/6/2016,Washington Wizards,Orlando Magic,116,124,Away
12/6/2016,Miami Heat,New York Knicks,103,114,Away
12/6/2016,Detroit Pistons,Chicago Bulls,102,91,Home
12/6/2016,Memphis Grizzlies,Philadelphia 76ers,96,91,Home
12/6/2016,Minnesota Timberwolves,San Antonio Spurs,91,105,Away
12/6/2016,Utah Jazz,Phoenix Suns,112,105,Home
12/7/2016,Charlotte Hornets,Detroit Pistons,87,77,Home
12/7/2016,Orlando Magic,Boston Celtics,87,117,Away
12/7/2016,Brooklyn Nets,Denver Nuggets,116,111,Home
12/7/2016,Atlanta Hawks,Miami Heat,103,95,Home
12/7/2016,Milwaukee Bucks,Portland Trail Blazers,115,107,Home
12/7/2016,Houston Rockets,Los Angeles Lakers,134,95,Home
12/7/2016,New York Knicks,Cleveland Cavaliers,94,126,Away
12/7/2016,Dallas Mavericks,Sacramento Kings,89,120,Away
12/7/2016,Phoenix Suns,Indiana Pacers,94,109,Away
12/7/2016,LA Clippers,Golden State Warriors,98,115,Away
12/8/2016,Toronto Raptors,Minnesota Timberwolves,124,110,Home
12/8/2016,Washington Wizards,Denver Nuggets,92,85,Home
12/8/2016,Memphis Grizzlies,Portland Trail Blazers,88,86,Home
12/8/2016,New Orleans Pelicans,Philadelphia 76ers,88,99,Away
12/8/2016,Utah Jazz,Golden State Warriors,99,106,Away
12/8/2016,Chicago Bulls,San Antonio Spurs,95,91,Home
12/9/2016,Charlotte Hornets,Orlando Magic,109,88,Home
12/9/2016,Cleveland Cavaliers,Miami Heat,114,84,Home
12/9/2016,Boston Celtics,Toronto Raptors,94,101,Away
12/9/2016,Milwaukee Bucks,Atlanta Hawks,110,114,Away
12/9/2016,Oklahoma City Thunder,Houston Rockets,99,102,Away
12/9/2016,Minnesota Timberwolves,Detroit Pistons,90,117,Away
12/9/2016,Dallas Mavericks,Indiana Pacers,111,103,Home
12/9/2016,Los Angeles Lakers,Phoenix Suns,115,119,Away
12/9/2016,Sacramento Kings,New York Knicks,100,103,Away
12/10/2016,Washington Wizards,Milwaukee Bucks,110,105,Home
12/10/2016,Orlando Magic,Denver Nuggets,113,121,Away
12/10/2016,Indiana Pacers,Portland Trail Blazers,118,111,Home
12/10/2016,Cleveland Cavaliers,Charlotte Hornets,116,105,Home
12/10/2016,Chicago Bulls,Miami Heat,105,100,Home
12/10/2016,Memphis Grizzlies,Golden State Warriors,110,89,Home
12/10/2016,Houston Rockets,Dallas Mavericks,109,87,Home
12/10/2016,San Antonio Spurs,Brooklyn Nets,130,101,Home
12/10/2016,Utah Jazz,Sacramento Kings,104,84,Home
12/10/2016,LA Clippers,New Orleans Pelicans,133,105,Home
12/11/2016,Detroit Pistons,Philadelphia 76ers,79,97,Away
12/11/2016,Oklahoma City Thunder,Boston Celtics,99,96,Home
12/11/2016,Minnesota Timberwolves,Golden State Warriors,108,116,Away
12/11/2016,Phoenix Suns,New Orleans Pelicans,119,120,Away
12/11/2016,Los Angeles Lakers,New York Knicks,112,118,Away
12/12/2016,Indiana Pacers,Charlotte Hornets,110,94,Home
12/12/2016,Toronto Raptors,Milwaukee Bucks,122,100,Home
12/12/2016,Miami Heat,Washington Wizards,112,101,Home
12/12/2016,Houston Rockets,Brooklyn Nets,122,118,Home
12/12/2016,Dallas Mavericks,Denver Nuggets,112,92,Home
12/12/2016,LA Clippers,Portland Trail Blazers,121,120,Home
12/12/2016,Sacramento Kings,Los Angeles Lakers,116,92,Home
12/13/2016,Cleveland Cavaliers,Memphis Grizzlies,103,86,Home
12/13/2016,Atlanta Hawks,Orlando Magic,120,131,Away
12/13/2016,Chicago Bulls,Minnesota Timberwolves,94,99,Away
12/13/2016,New Orleans Pelicans,Golden State Warriors,109,113,Away
12/13/2016,Phoenix Suns,New York Knicks,113,111,Home
12/13/2016,Portland Trail Blazers,Oklahoma City Thunder,114,95,Home
12/14/2016,Philadelphia 76ers,Toronto Raptors,114,123,Away
12/14/2016,Washington Wizards,Charlotte Hornets,109,106,Home
12/14/2016,Orlando Magic,LA Clippers,108,113,Away
12/14/2016,Miami Heat,Indiana Pacers,95,89,Home
12/14/2016,Brooklyn Nets,Los Angeles Lakers,107,97,Home
12/14/2016,Memphis Grizzlies,Cleveland Cavaliers,93,85,Home
12/14/2016,Houston Rockets,Sacramento Kings,132,98,Home
12/14/2016,Dallas Mavericks,Detroit Pistons,85,95,Away
12/14/2016,Utah Jazz,Oklahoma City Thunder,109,89,Home
12/14/2016,San Antonio Spurs,Boston Celtics,108,101,Home
12/15/2016,Milwaukee Bucks,Chicago Bulls,108,97,Home
12/15/2016,New Orleans Pelicans,Indiana Pacers,102,95,Home
12/15/2016,Denver Nuggets,Portland Trail Blazers,132,120,Home
12/15/2016,Phoenix Suns,San Antonio Spurs,92,107,Away
12/15/2016,Golden State Warriors,New York Knicks,103,90,Home
12/16/2016,Washington Wizards,Detroit Pistons,122,108,Home
12/16/2016,Orlando Magic,Brooklyn Nets,118,111,Home
12/16/2016,Boston Celtics,Charlotte Hornets,96,88,Home
12/16/2016,Toronto Raptors,Atlanta Hawks,121,125,Away
12/16/2016,Chicago Bulls,Milwaukee Bucks,69,95,Away
12/16/2016,Memphis Grizzlies,Sacramento Kings,92,96,Away
12/16/2016,Houston Rockets,New Orleans Pelicans,122,100,Home
12/16/2016,Philadelphia 76ers,Los Angeles Lakers,89,100,Away
12/16/2016,Miami Heat,LA Clippers,98,102,Away
12/16/2016,Utah Jazz,Dallas Mavericks,103,100,Home
12/17/2016,Oklahoma City Thunder,Phoenix Suns,114,101,Home
12/17/2016,Detroit Pistons,Indiana Pacers,90,105,Away
12/17/2016,Atlanta Hawks,Charlotte Hornets,99,107,Away
12/17/2016,Cleveland Cavaliers,Los Angeles Lakers,119,108,Home
12/17/2016,Minnesota Timberwolves,Houston Rockets,109,111,Away
12/17/2016,Denver Nuggets,New York Knicks,127,114,Home
12/17/2016,Golden State Warriors,Portland Trail Blazers,135,90,Home
12/18/2016,Washington Wizards,LA Clippers,117,110,Home
12/18/2016,Memphis Grizzlies,Utah Jazz,73,82,Away
12/18/2016,Philadelphia 76ers,Brooklyn Nets,108,107,Home
12/18/2016,Orlando Magic,Toronto Raptors,79,109,Away
12/18/2016,Miami Heat,Boston Celtics,95,105,Away
12/18/2016,Dallas Mavericks,Sacramento Kings,99,79,Home
12/18/2016,San Antonio Spurs,New Orleans Pelicans,113,100,Home
12/19/2016,Indiana Pacers,Washington Wizards,107,105,Home
12/19/2016,Chicago Bulls,Detroit Pistons,113,82,Home
12/19/2016,Oklahoma City Thunder,Atlanta Hawks,108,110,Away
12/19/2016,Minnesota Timberwolves,Phoenix Suns,115,108,Home
12/19/2016,Denver Nuggets,Dallas Mavericks,117,107,Home
12/20/2016,Philadelphia 76ers,New Orleans Pelicans,93,108,Away
12/20/2016,Charlotte Hornets,Los Angeles Lakers,117,113,Home
12/20/2016,Toronto Raptors,Brooklyn Nets,116,104,Home
12/20/2016,New York Knicks,Indiana Pacers,118,111,Home
12/20/2016,Miami Heat,Orlando Magic,130,136,Away
12/20/2016,Milwaukee Bucks,Cleveland Cavaliers,108,114,Away
